,Rk,Player,NBA,College_Year,Nationality[n 1],Pick,Pos.,Position,Rnd.,Round,School / club team,School/club team,Team,year
0,43,Kevin Durant,9,Fr.,United States,2,,SF,,1.0,,Texas (Fr.),Seattle SuperSonics,2007
1,80,Russell Westbrook,7,So.,United States,4,,PG,,1.0,,UCLA (So.),Seattle SuperSonicsa[›],2008
2,83,LaMarcus Aldridge,6,So.,United States,2,,PF,,1.0,,Texas (So.),"Chicago Bulls (from New York, traded to Portland)[o][a]",2006
3,92,James Harden,6,So.,United States,3,,SG,,1.0,,Arizona State (So.),Oklahoma City Thunder,2009
4,112,Stephen Curry,5,Jr.,United States,7,,PG,,1.0,,Davidson (Jr.),Golden State Warriors,2009
5,114,Anthony Davis,5,Fr.,United States,1,,PF/C,,1.0,,Kentucky (Fr.),New Orleans Hornets,2012
6,117,Paul George,5,So.,United States,10,,SF,,1.0,,Fresno State (So.),Indiana Pacers,2010
7,120,Blake Griffin,5,So.,United States,1,,PF,,1.0,,Oklahoma (So.),Los Angeles Clippers,2009
8,124,Al Horford,5,Jr.,Dominican Republic,3,,C,,1.0,,Florida (Jr.),Atlanta Hawks,2007
9,125,Kyrie Irving,5,Fr.,United States[n 2],1,,PG,,1.0,,Duke (Fr.),Cleveland Cavaliers (from L.A. Clippers)[a],2011
10,129,Bobby Jones,4,Sr.,United States,37,,F,,2.0,,Washington (Sr.),Minnesota Timberwolves (traded to Philadelphia)[h],2006
11,133,Kevin Love,5,Fr.,United States,5,,PF,,1.0,,UCLA (Fr.),Memphis Grizzlies (traded to Minnesota)[a],2008
12,148,John Wall,5,Fr.,United States,1,,PG,,1.0,,Kentucky (Fr.),Washington Wizards,2010
13,158,Jimmy Butler,4,Sr.,United States,30,,SG,,1.0,,Marquette (Sr.),Chicago Bulls,2011
14,163,DeMarcus Cousins,4,Fr.,United States,5,,C,,1.0,,Kentucky (Fr.),Sacramento Kings,2010
15,166,DeMar DeRozan,4,Fr.,United States,9,,SG,,1.0,,USC (Fr.),Toronto Raptors,2009
16,177,Kyle Lowry,4,So.,United States,24,,PG,,1.0,,Villanova (So.),Memphis Grizzlies,2006
17,180,Paul Millsap,4,Jr.,United States,47,,PF,,2.0,,Louisiana Tech (Jr.),Utah Jazz,2006
18,190,Rajon Rondo,4,So.,United States,21,,PG,,1.0,,Kentucky (So.),"Phoenix Suns (from L.A. Lakers via Boston and Atlanta, traded to Boston)[r][e]",2006
19,193,Klay Thompson,4,Jr.,United States,11,,SG,,1.0,,Washington State (Jr.),Golden State Warriors,2011
20,207,Marc Gasol,3,Spain,Spain,48,,C,,2.0,,Akasvayu Girona (Spain)[25],Los Angeles Lakers,2007
21,208,Draymond Green,3,Sr.,United States,35,,PF,,2.0,,Michigan St. (Sr.),Golden State Warriors (from Brooklyn)[j],2012
22,216,Damian Lillard,3,Jr.,United States,6,,PG,,1.0,,Weber St. (Jr.),Portland Trail Blazers (from Brooklyn)[a],2012
23,226,Derrick Rose,3,Fr.,United States,1,,PG,,1.0,,Memphis (Fr.),Chicago Bulls,2008
24,228,Brandon Roy,3,Sr.,United States,6,,SG,,1.0,,Washington (Sr.),Minnesota Timberwolves (traded to Portland)[b],2006
25,242,Giannis Antetokounmpo,2,Greece,Greece,15,SF/PF,,1.0,,Filathlitikos (Greece),,Milwaukee Bucks,2013
26,259,Andre Drummond,2,Fr.,United States,9,,C,,1.0,,Connecticut (Fr.),Detroit Pistons,2012
27,268,Roy Hibbert,2,Sr.,United States Jamaicac[›],17,,C,,1.0,,Georgetown (Sr.),Toronto Raptors (traded to Indiana)[c],2008
28,282,Kawhi Leonard,2,So.,United States,15,,SF,,1.0,,San Diego State (So.),Indiana Pacers (traded to San Antonio)[B],2011
29,292,Joakim Noah,2,Jr.,France United Statesb[›],9,,C,,1.0,,Florida (Jr.),Chicago Bulls (from New York)[l],2007
30,315,Isaiah Thomas,2,Jr.,United States,60,,PG,,2.0,,Washington (Jr.),Sacramento Kings (from Chicago via Milwaukee)[t],2011
31,320,Kemba Walker,2,Jr.,United States,9,,PG,,1.0,,Connecticut (Jr.),Charlotte Bobcats,2011
32,337,Bradley Beal,1,Fr.,United States,3,,SG,,1.0,,Florida (Fr.),Washington Wizards,2012
33,389,Gordon Hayward,1,So.,United States,9,,SF,,1.0,,Butler (So.),Utah Jazz (from New York via Phoenix)[a],2010
34,393,Jrue Holiday,1,Fr.,United States,17,,PG,,1.0,,UCLA (Fr.),Philadelphia 76ers,2009
35,408,DeAndre Jordan,1,Fr.,United States,35,,C,,2.0,,Texas A&M (Fr.),Los Angeles Clippers,2008
36,420,Brook Lopez,1,So.,United States,10,,C,,1.0,,Stanford (So.),New Jersey Nets,2008
37,444,Victor Oladipo,1,Jr.,United States,2,SG/PG,,1.0,,Indiana (Jr.),,Orlando Magic,2013
38,470,Jeff Teague,1,So.,United States,19,,PG,,1.0,,Wake Forest (So.),Atlanta Hawks,2009
