,Player,PTS_RBS_AST,College_Year_x,PTS_RBS_AST_College,College_Year_y
0,Kevin Durant,38.14366998577525,Fr.,38.2,Fr.
1,Russell Westbrook,36.82335329341318,So.,13.200000000000001,So.
2,DeMarcus Cousins,35.987477638640435,Fr.,25.900000000000002,Fr.
3,Blake Griffin,35.01910828025478,So.,32.7,So.
4,Anthony Davis,34.301492537313436,Fr.,20.0,Fr.
5,Stephen Curry,33.98257839721254,Jr.,33.5,Jr.
6,James Harden,32.90569105691057,So.,28.1,So.
7,Damian Lillard,32.62373737373738,Jr.,26.400000000000002,Jr.
8,John Wall,32.492000000000004,Fr.,27.400000000000002,Fr.
9,Kevin Love,32.244791666666664,Fr.,30.0,Fr.
10,Kyrie Irving,30.540682414698164,Fr.,25.2,Fr.
11,LaMarcus Aldridge,29.26448362720403,So.,22.299999999999997,So.
12,Derrick Rose,29.125531914893617,Fr.,24.1,Fr.
13,Brandon Roy,27.733128834355828,Sr.,22.3,Sr.
14,Kemba Walker,27.598194130925506,Jr.,24.6,Jr.
15,Paul George,27.511160714285715,So.,24.599999999999998,So.
16,Brook Lopez,27.252669039145907,So.,24.200000000000003,So.
17,Andre Drummond,26.862337662337666,Fr.,18.0,Fr.
18,Rudy Gay,26.806881243063263,So.,21.3,So.
19,Isaiah Thomas,26.36417322834646,Jr.,23.9,Jr.
20,DeMar DeRozan,26.119327731092437,Fr.,21.1,Fr.
21,Al Horford,25.965944272445824,Jr.,19.9,Jr.
22,Hassan Whiteside,25.387096774193548,Fr.,22.3,Fr.
23,Tyreke Evans,25.29044834307992,Fr.,26.4,Fr.
24,Greg Monroe,25.08364312267658,So.,25.9,So.
25,Kawhi Leonard,24.82412060301508,So.,26.5,So.
26,Klay Thompson,24.683189655172416,Jr.,25.3,Jr.
27,Bradley Beal,24.33024691358025,Fr.,23.7,Fr.
28,Michael Carter-Williams,24.282392026578073,So.,17.0,So.
29,Jrue Holiday,24.083333333333336,Fr.,16.0,Fr.
30,Paul Millsap,23.973715651135006,Jr.,32.2,Jr.
31,Victor Oladipo,23.93470790378007,Jr.,17.599999999999998,Jr.
32,Rajon Rondo,23.891304347826086,So.,18.3,So.
33,Jimmy Butler,23.51629072681704,Sr.,19.2,Sr.
34,Brandon Knight,23.30337078651685,Fr.,25.5,Fr.
35,Gordon Hayward,23.230620155038757,So.,23.6,So.
36,Kyle Lowry,23.09240506329114,So.,16.3,So.
37,Mike Conley,22.8371104815864,Fr.,20.799999999999997,Fr.
38,Eric Gordon,22.278455284552845,Fr.,26.599999999999998,Fr.
39,Eric Bledsoe,21.5,Fr.,17.3,Fr.
40,Kenneth Faried,21.44254278728606,Sr.,28.0,Sr.
41,Wilson Chandler,21.39965986394558,So.,21.2,So.
42,Chandler Parsons,21.328877005347593,Sr.,18.6,Sr.
43,Joakim Noah,21.283171521035598,Jr.,18.6,Jr.
44,Thaddeus Young,21.127607361963186,Fr.,21.299999999999997,Fr.
45,Tobias Harris,21.038834951456312,Fr.,23.900000000000002,Fr.
46,Jeff Teague,20.5,So.,22.4,So.
47,Reggie Jackson,20.4125,Jr.,20.6,Jr.
48,Ty Lawson,20.307941653160455,Jr.,21.799999999999997,Jr.
49,Khris Middleton,20.30743243243243,Jr.,17.9,Jr.
50,Darren Collison,20.143872113676732,Sr.,17.9,Sr.
51,Jared Sullinger,19.985130111524164,So.,28.2,So.
52,DeAndre Jordan,19.922734026745914,Fr.,14.3,Fr.
53,Draymond Green,19.841309823677584,Sr.,21.0,Sr.
54,Jeff Green,19.71002132196162,Jr.,22.7,Jr.
55,Evan Turner,19.603252032520327,Jr.,25.900000000000002,Jr.
56,Ryan Anderson,19.500000000000004,So.,28.7,So.
57,Markieff Morris,19.234375,Jr.,15.799999999999999,Jr.
58,Rodney Stuckey,19.093701996927805,So.,33.9,So.
59,Tristan Thompson,18.862660944206006,Fr.,16.8,Fr.
60,Derrick Favors,18.68581687612208,Fr.,21.8,Fr.
61,Michael Beasley,18.542239685658153,Fr.,39.8,Fr.
62,Mason Plumlee,18.328282828282827,Sr.,19.0,Sr.
63,Nerlens Noel,18.32786885245902,Fr.,21.6,Fr.
64,George Hill,18.30550918196995,Jr.,26.1,Jr.
65,Dion Waiters,18.154216867469877,So.,13.6,So.
66,Harrison Barnes,18.10362694300518,So.,23.1,So.
67,Gorgui Dieng,17.73063973063973,Jr.,17.4,Jr.
68,Jordan Crawford,17.658848614072497,So.,22.200000000000003,So.
69,Carl Landry,17.367713004484305,Sr.,26.699999999999996,Sr.
70,Ramon Sessions,17.297482837528605,Jr.,17.900000000000002,Jr.
71,Terrence Jones,17.286713286713283,So.,23.5,So.
72,Roy Hibbert,16.995774647887323,Sr.,18.1,Sr.
73,Avery Bradley,16.886198547215496,Fr.,16.599999999999998,Fr.
74,Taj Gibson,16.83107088989442,Jr.,22.3,Jr.
75,Michael Kidd-Gilchrist,16.80565371024735,Fr.,21.200000000000003,Fr.
76,Spencer Hawes,16.69682151589242,Fr.,23.200000000000003,Fr.
77,Tony Wroten,16.579310344827586,Fr.,24.7,Fr.
78,Arron Afflalo,16.386277001270646,Jr.,20.2,Jr.
79,Trey Burke,16.38576779026217,So.,25.9,So.
80,Gerald Henderson,16.28411214953271,Jr.,20.7,Jr.
81,Kentavious Caldwell-Pope,16.245222929936304,So.,23.4,So.
82,Al Thornton,16.063348416289593,Sr.,18.2,Sr.
83,Marcus Morris,15.947261663286005,Jr.,20.1,Jr.
84,Kelly Olynyk,15.856115107913668,Jr.,14.6,Jr.
85,Jason Thompson,15.803149606299215,Sr.,28.299999999999997,Sr.
86,Marcus Thornton,15.476255088195385,Sr.,27.7,Sr.
